Date,Price
4/12/2011,4.08
4/13/2011,4.14
4/14/2011,4.12
4/15/2011,4.21
4/18/2011,4.23
4/19/2011,4.19
4/20/2011,4.33
4/21/2011,4.33
4/25/2011,4.37
4/26/2011,4.32
4/27/2011,4.35
4/28/2011,4.38
4/29/2011,4.51
5/2/2011,4.6
5/3/2011,4.6
5/4/2011,4.59
5/5/2011,4.49
5/6/2011,4.24
5/9/2011,4.28
5/10/2011,4.19
5/11/2011,4.23
5/12/2011,4.1
5/13/2011,4.09
5/16/2011,4.21
5/17/2011,4.25
5/18/2011,4.15
5/19/2011,4.1
5/20/2011,4.05
5/23/2011,4.27
5/24/2011,4.37
5/25/2011,4.36
5/26/2011,4.37
5/27/2011,4.36
5/31/2011,4.63
6/1/2011,4.62
6/2/2011,4.64
6/3/2011,4.72
6/6/2011,4.83
6/7/2011,4.83
6/8/2011,4.83
6/9/2011,4.92
6/10/2011,4.72
6/13/2011,4.75
6/14/2011,4.59
6/15/2011,4.53
6/16/2011,4.54
6/17/2011,4.39
6/20/2011,4.33
6/21/2011,4.37
6/22/2011,4.42
6/23/2011,4.31
6/24/2011,4.2
6/27/2011,4.25
6/28/2011,4.34
6/29/2011,4.4
6/30/2011,4.28
7/1/2011,4.33
7/5/2011,4.4
7/6/2011,4.34
7/7/2011,4.25
7/8/2011,4.19
7/11/2011,4.35
7/12/2011,4.38
7/13/2011,4.43
7/14/2011,4.42
7/15/2011,4.49
7/18/2011,4.6
7/19/2011,4.6
7/20/2011,4.64
7/21/2011,4.58
7/22/2011,4.46
7/25/2011,4.45
7/26/2011,4.43
7/27/2011,4.46
7/28/2011,4.41
7/29/2011,4.26
8/1/2011,4.29
8/2/2011,4.3
8/3/2011,4.26
8/4/2011,4.2
8/5/2011,4
8/8/2011,4
8/9/2011,4.06
8/10/2011,4.09
8/11/2011,4.06
8/12/2011,4.17
8/15/2011,4.05
8/16/2011,4.03
8/17/2011,3.98
8/18/2011,3.98
8/19/2011,3.99
8/22/2011,3.97
8/23/2011,4.01
8/24/2011,4.1
8/25/2011,4.01
8/26/2011,3.96
8/29/2011,3.93
8/30/2011,3.85
8/31/2011,3.97
9/1/2011,4.18
9/2/2011,4.12
9/6/2011,3.93
9/7/2011,3.96
9/8/2011,3.99
9/9/2011,3.96
9/12/2011,3.92
9/13/2011,3.96
9/14/2011,4.01
9/15/2011,4.04
9/16/2011,3.84
9/19/2011,3.78
9/20/2011,3.84
9/21/2011,3.78
9/22/2011,3.72
9/23/2011,3.74
9/26/2011,3.8
9/27/2011,3.92
9/28/2011,3.88
9/29/2011,3.77
9/30/2011,3.68
10/3/2011,3.57
10/4/2011,3.56
10/5/2011,3.63
10/6/2011,3.49
10/7/2011,3.4
10/10/2011,3.41
10/11/2011,3.52
10/12/2011,3.54
10/13/2011,3.42
10/14/2011,3.49
10/17/2011,3.72
10/18/2011,3.63
10/19/2011,3.59
10/20/2011,3.61
10/21/2011,3.54
10/24/2011,3.61
10/25/2011,3.62
10/26/2011,3.65
10/27/2011,3.59
10/28/2011,3.63
10/31/2011,3.66
11/1/2011,3.49
11/2/2011,3.39
11/3/2011,3.39
11/4/2011,3.44
11/7/2011,3.35
11/8/2011,3.42
11/9/2011,3.55
11/10/2011,3.48
11/11/2011,3.29
11/14/2011,3.17
11/15/2011,3.12
11/16/2011,3.11
11/17/2011,3.11
11/18/2011,3.01
11/21/2011,2.94
11/22/2011,3.06
11/23/2011,2.84
11/25/2011,2.84
11/28/2011,3.09
11/29/2011,3.39
11/30/2011,3.53
12/1/2011,3.49
12/2/2011,3.35
12/5/2011,3.38
12/6/2011,3.43
12/7/2011,3.45
12/8/2011,3.42
12/9/2011,3.29
12/12/2011,3.13
12/13/2011,3.12
12/14/2011,3.08
12/15/2011,3.05
12/16/2011,3.01
12/19/2011,3.03
12/20/2011,3.06
12/21/2011,3.05
12/22/2011,3.08
12/23/2011,2.97
12/27/2011,3.09
12/28/2011,3.07
12/29/2011,3.03
12/30/2011,2.98
1/3/2012,2.97
1/4/2012,2.96
1/5/2012,2.91
1/6/2012,2.85
1/9/2012,2.89
1/10/2012,2.97
1/11/2012,2.81
1/12/2012,2.7
1/13/2012,2.67
1/17/2012,2.51
1/18/2012,2.49
1/19/2012,2.36
1/20/2012,2.23
1/23/2012,2.39
1/24/2012,2.6
1/25/2012,2.61
1/26/2012,2.68
1/27/2012,2.59
1/30/2012,2.71
1/31/2012,2.51
2/1/2012,2.32
2/2/2012,2.3
2/3/2012,2.4
2/6/2012,2.46
2/7/2012,2.6
2/8/2012,2.48
2/9/2012,2.5
2/10/2012,2.51
2/13/2012,2.42
2/14/2012,2.48
2/15/2012,2.54
2/16/2012,2.47
2/17/2012,2.67
2/21/2012,2.63
2/22/2012,2.6
2/23/2012,2.68
2/24/2012,2.6
2/27/2012,2.55
2/28/2012,2.44
2/29/2012,2.44
3/1/2012,2.45
3/2/2012,2.38
3/5/2012,2.31
3/6/2012,2.3
3/7/2012,2.24
3/8/2012,2.24
3/9/2012,2.21
3/12/2012,2.17
3/13/2012,2.15
3/14/2012,2.13
3/15/2012,2.07
3/16/2012,2.01
3/19/2012,2.14
3/20/2012,2.19
3/21/2012,2.21
3/22/2012,2.19
3/23/2012,2.07
3/26/2012,2.16
3/27/2012,2.09
3/28/2012,2.05
3/29/2012,2.02
3/30/2012,2
4/2/2012,1.88
4/3/2012,1.94
4/4/2012,2.06
4/5/2012,1.98
4/9/2012,1.99
4/10/2012,1.99
4/11/2012,1.91
4/12/2012,1.87
4/13/2012,1.87
4/16/2012,1.88
4/17/2012,1.89
4/18/2012,1.87
4/19/2012,1.85
4/20/2012,1.82
4/23/2012,1.89
4/24/2012,1.97
4/25/2012,1.99
4/26/2012,2.1
4/27/2012,2.05
4/30/2012,2.1
5/1/2012,2.29
5/2/2012,2.31
5/3/2012,2.29
5/4/2012,2.3
5/7/2012,2.3
5/8/2012,2.27
5/9/2012,2.36
5/10/2012,2.36
5/11/2012,2.37
5/14/2012,2.41
5/15/2012,2.38
5/16/2012,2.5
5/17/2012,2.6
5/18/2012,2.56
5/21/2012,2.6
5/22/2012,2.55
5/23/2012,2.6
5/24/2012,2.66
5/25/2012,2.56
5/29/2012,2.5
5/30/2012,2.39
5/31/2012,2.34
6/1/2012,2.24
6/4/2012,2.32
6/5/2012,2.39
6/6/2012,2.41
6/7/2012,2.33
6/8/2012,2.22
6/11/2012,2.22
6/12/2012,2.17
6/13/2012,2.18
6/14/2012,2.2
6/15/2012,2.44
6/18/2012,2.45
6/19/2012,2.59
6/20/2012,2.6
6/21/2012,2.48
6/22/2012,2.5
6/25/2012,2.7
6/26/2012,2.7
6/27/2012,2.87
6/28/2012,2.81
6/29/2012,2.74
7/2/2012,2.73
7/3/2012,2.78
7/5/2012,2.9
7/6/2012,2.94
7/9/2012,2.79
7/10/2012,2.87
7/11/2012,2.72
7/12/2012,2.83
7/13/2012,2.88
7/16/2012,2.92
7/17/2012,2.83
7/18/2012,2.84
7/19/2012,2.99
7/20/2012,3.03
7/23/2012,3.05
7/24/2012,3.16
7/25/2012,3.19
7/26/2012,3.13
7/27/2012,3.1
7/30/2012,3.14
7/31/2012,3.2
8/1/2012,3.2
8/2/2012,3.16
8/3/2012,2.91
8/6/2012,2.9
8/7/2012,2.99
8/8/2012,2.97
8/9/2012,2.89
8/10/2012,2.84
8/13/2012,2.77
8/14/2012,2.79
8/15/2012,2.82
8/16/2012,2.78
8/17/2012,2.7
8/20/2012,2.75
8/21/2012,2.8
8/22/2012,2.8
8/23/2012,2.81
8/24/2012,2.81
8/27/2012,2.8
8/28/2012,2.71
8/29/2012,2.64
8/30/2012,2.72
8/31/2012,2.72
9/4/2012,2.81
9/5/2012,2.87
9/6/2012,2.85
9/7/2012,2.73
9/10/2012,2.66
9/11/2012,2.82
9/12/2012,2.96
9/13/2012,3.01
9/14/2012,2.94
9/17/2012,2.83
9/18/2012,2.74
9/19/2012,2.7
9/20/2012,2.76
9/21/2012,2.76
9/24/2012,2.82
9/25/2012,2.84
9/26/2012,2.92
9/27/2012,3.01
9/28/2012,3.08
10/1/2012,3.19
10/2/2012,3.21
10/3/2012,3.21
10/4/2012,3.23
10/5/2012,3.26
10/8/2012,3.18
10/9/2012,3.18
10/10/2012,3.26
10/11/2012,3.28
10/12/2012,3.38
10/15/2012,3.35
10/16/2012,3.27
10/17/2012,3.24
10/18/2012,3.28
10/19/2012,3.43
10/22/2012,3.49
10/23/2012,3.34
10/24/2012,3.43
10/25/2012,3.39
10/26/2012,3.38
10/29/2012,3.4
10/30/2012,3.42
10/31/2012,3.5
11/1/2012,3.5
11/2/2012,3.4
11/5/2012,3.34
11/6/2012,3.41
11/7/2012,3.47
11/8/2012,3.45
11/9/2012,3.33
11/12/2012,3.4
11/13/2012,3.57
11/14/2012,3.66
11/15/2012,3.63
11/16/2012,3.46
11/19/2012,3.63
11/20/2012,3.62
11/21/2012,3.59
11/23/2012,3.59
11/26/2012,3.75
11/27/2012,3.77
11/28/2012,3.71
11/29/2012,3.61
11/30/2012,3.46
12/3/2012,3.44
12/4/2012,3.38
12/5/2012,3.41
12/6/2012,3.48
12/7/2012,3.33
12/10/2012,3.35
12/11/2012,3.39
12/12/2012,3.33
12/13/2012,3.27
12/14/2012,3.15
12/17/2012,3.2
12/18/2012,3.29
12/19/2012,3.25
12/20/2012,3.35
12/21/2012,3.42
12/24/2012,3.3
12/26/2012,3.35
12/27/2012,3.31
12/28/2012,3.4
12/31/2012,3.43
1/2/2013,3.3
1/3/2013,3.19
1/4/2013,3.2
1/7/2013,3.3
1/8/2013,3.21
1/9/2013,3.14
1/10/2013,3.08
1/11/2013,3.18
1/14/2013,3.39
1/15/2013,3.4
1/16/2013,3.43
1/17/2013,3.44
1/18/2013,3.54
1/22/2013,3.63
1/23/2013,3.53
1/24/2013,3.56
1/25/2013,3.42
1/28/2013,3.25
1/29/2013,3.14
1/30/2013,3.24
1/31/2013,3.33
2/1/2013,3.34
2/4/2013,3.27
2/5/2013,3.34
2/6/2013,3.41
2/7/2013,3.39
2/8/2013,3.26
2/11/2013,3.2
2/12/2013,3.3
2/13/2013,3.29
2/14/2013,3.3
2/15/2013,3.19
2/19/2013,3.23
2/20/2013,3.34
2/21/2013,3.29
2/22/2013,3.27
2/25/2013,3.42
2/26/2013,3.46
2/27/2013,3.49
2/28/2013,3.48
3/1/2013,3.54
3/4/2013,3.53
3/5/2013,3.63
3/6/2013,3.57
3/7/2013,3.54
3/8/2013,3.57
3/11/2013,3.64
3/12/2013,3.71
3/13/2013,3.72
3/14/2013,3.74
3/15/2013,3.89
3/18/2013,3.98
3/19/2013,3.96
3/20/2013,3.97
3/21/2013,4.01
3/22/2013,4.01
3/25/2013,4.08
3/26/2013,3.99
3/27/2013,4.08
3/28/2013,4.03
4/1/2013,3.97
4/2/2013,4.07
4/3/2013,4
4/4/2013,3.94
4/5/2013,3.98
4/8/2013,4.18
4/9/2013,4.08
4/10/2013,4.07
4/11/2013,4.11
4/12/2013,4.21
4/15/2013,4.23
4/16/2013,4.19
4/17/2013,4.24
4/18/2013,4.23
4/19/2013,4.38
4/22/2013,4.33
4/23/2013,4.27
4/24/2013,4.25
4/25/2013,4.19
4/26/2013,4.16
4/29/2013,4.28
4/30/2013,4.3
5/1/2013,4.31
5/2/2013,4.28
5/3/2013,3.98
5/6/2013,3.93
5/7/2013,3.88
5/8/2013,3.86
5/9/2013,3.87
5/10/2013,3.9
5/13/2013,3.87
5/14/2013,3.93
5/15/2013,4.03
5/16/2013,4.01
5/17/2013,3.89
5/20/2013,4.1
5/21/2013,4.13
5/22/2013,4.16
5/23/2013,4.15
5/24/2013,4.15
5/28/2013,4.19
5/29/2013,4.15
5/30/2013,4.12
5/31/2013,4.02
6/3/2013,4
6/4/2013,4
6/5/2013,3.99
6/6/2013,3.93
6/7/2013,3.79
6/10/2013,3.85
6/11/2013,3.77
6/12/2013,3.74
6/13/2013,3.73
6/14/2013,3.76
6/17/2013,3.78
6/18/2013,3.9
6/19/2013,3.93
6/20/2013,3.9
6/21/2013,3.85
6/24/2013,3.81
6/25/2013,3.77
6/26/2013,3.72
6/27/2013,3.73
6/28/2013,3.57
7/1/2013,3.52
7/2/2013,3.58
7/3/2013,3.54
7/5/2013,3.52
7/8/2013,3.65
7/9/2013,3.69
7/10/2013,3.69
7/11/2013,3.64
7/12/2013,3.61
7/15/2013,3.67
7/16/2013,3.69
7/17/2013,3.67
7/18/2013,3.66
7/19/2013,3.78
7/22/2013,3.71
7/23/2013,3.68
7/24/2013,3.7
7/25/2013,3.68
7/26/2013,3.59
7/29/2013,3.49
7/30/2013,3.48
7/31/2013,3.46
8/1/2013,3.44
8/2/2013,3.39
8/5/2013,3.33
8/6/2013,3.35
8/7/2013,3.32
8/8/2013,3.27
8/9/2013,3.32
8/12/2013,3.34
8/13/2013,3.34
8/14/2013,3.36
8/15/2013,3.34
8/16/2013,3.35
8/19/2013,3.46
8/20/2013,3.48
8/21/2013,3.51
8/22/2013,3.52
8/23/2013,3.5
8/26/2013,3.55
8/27/2013,3.5
8/28/2013,3.54
8/29/2013,3.58
8/30/2013,3.57
9/3/2013,3.64
9/4/2013,3.68
9/5/2013,3.7
9/6/2013,3.55
9/9/2013,3.62
9/10/2013,3.65
9/11/2013,3.6
9/12/2013,3.57
9/13/2013,3.6
9/16/2013,3.64
9/17/2013,3.77
9/18/2013,3.72
9/19/2013,3.73
9/20/2013,3.68
9/23/2013,3.66
9/24/2013,3.59
9/25/2013,3.52
9/26/2013,3.49
9/27/2013,3.51
9/30/2013,3.48
10/1/2013,3.56
10/2/2013,3.63
10/3/2013,3.58
10/4/2013,3.57
10/7/2013,3.62
10/8/2013,3.72
10/9/2013,3.7
10/10/2013,3.74
10/11/2013,3.74
10/14/2013,3.82
10/15/2013,3.83
10/16/2013,3.84
10/17/2013,3.75
10/18/2013,3.72
10/21/2013,3.77
10/22/2013,3.7
10/23/2013,3.66
10/24/2013,3.65
10/25/2013,3.69
10/28/2013,3.61
10/29/2013,3.57
10/30/2013,3.55
10/31/2013,3.57
11/1/2013,3.45
11/4/2013,3.38
11/5/2013,3.37
11/6/2013,3.46
11/7/2013,3.59
11/8/2013,3.54
11/11/2013,3.62
11/12/2013,3.69
11/13/2013,3.69
11/14/2013,3.52
11/15/2013,3.56
11/18/2013,3.71
11/19/2013,3.63
11/20/2013,3.63
11/21/2013,3.68
11/22/2013,3.78
11/25/2013,3.85
11/26/2013,3.87
11/27/2013,3.87
11/29/2013,3.87
12/2/2013,3.85
12/3/2013,3.84
12/4/2013,3.89
12/5/2013,3.97
12/6/2013,4.15
12/9/2013,4.24
12/10/2013,4.24
12/11/2013,4.24
12/12/2013,4.4
12/13/2013,4.44
12/16/2013,4.21
12/17/2013,4.2
12/18/2013,4.25
12/19/2013,4.25
12/20/2013,4.35
12/23/2013,4.52
12/24/2013,4.52
12/26/2013,4.4
12/27/2013,4.34
12/30/2013,4.41
12/31/2013,4.31
1/2/2014,4.32
1/3/2014,4.39
1/6/2014,4.5
1/7/2014,4.58
1/8/2014,4.36
1/9/2014,4.15
1/10/2014,3.95
1/13/2014,4.19
1/14/2014,4.36
1/15/2014,4.45
1/16/2014,4.55
1/17/2014,4.39
1/21/2014,4.61
1/22/2014,4.92
1/23/2014,5.64
1/24/2014,5.17
1/27/2014,5.66
1/28/2014,5.25
1/29/2014,5.23
1/30/2014,5.27
1/31/2014,5.04
2/3/2014,5.04
2/4/2014,5.78
2/5/2014,8.12
2/6/2014,6.9
2/7/2014,5.92
2/10/2014,8.15
2/11/2014,7.75
2/12/2014,5.96
2/13/2014,5.34
2/14/2014,5.54
2/18/2014,5.8
2/19/2014,6
2/20/2014,5.96
2/21/2014,6.24
2/24/2014,6.08
2/25/2014,5.21
2/26/2014,4.81
2/27/2014,4.61
2/28/2014,4.8
3/3/2014,7.09
3/4/2014,7.98
3/5/2014,6.46
3/6/2014,4.89
3/7/2014,4.78
3/10/2014,4.67
3/11/2014,4.67
3/12/2014,4.72
3/13/2014,4.41
3/14/2014,4.4
3/17/2014,4.57
3/18/2014,4.42
3/19/2014,4.43
3/20/2014,4.39
3/21/2014,4.33
3/24/2014,4.42
3/25/2014,4.53
3/26/2014,4.44
3/27/2014,4.39
3/28/2014,4.5
3/31/2014,4.48
4/1/2014,4.39
4/2/2014,4.39
4/3/2014,4.51
4/4/2014,4.49
4/7/2014,4.58
4/8/2014,4.57
4/9/2014,4.67
4/10/2014,4.67
4/11/2014,4.67
4/14/2014,4.64
4/15/2014,4.69
4/16/2014,4.64
4/17/2014,4.64
4/21/2014,4.76
4/22/2014,4.76
4/23/2014,4.81
4/24/2014,4.81
4/25/2014,4.83
4/28/2014,4.72
4/29/2014,4.78
4/30/2014,4.79
5/1/2014,4.79
5/2/2014,4.73
5/5/2014,4.73
5/6/2014,4.8
5/7/2014,4.82
5/8/2014,4.77
5/9/2014,4.59
5/12/2014,4.52
5/13/2014,4.47
5/14/2014,4.47
5/15/2014,4.42
5/16/2014,4.42
5/19/2014,4.54
5/20/2014,4.53
5/21/2014,4.57
5/22/2014,4.57
5/23/2014,4.4
5/27/2014,4.4
5/28/2014,4.56
5/29/2014,4.63
5/30/2014,4.49
6/2/2014,4.49
6/3/2014,4.62
6/4/2014,4.62
6/5/2014,4.66
6/6/2014,4.66
6/9/2014,4.67
6/10/2014,4.67
6/11/2014,4.51
6/12/2014,4.51
6/13/2014,4.7
6/16/2014,4.71
6/17/2014,4.68
6/18/2014,4.68
6/19/2014,4.67
6/20/2014,4.53
6/23/2014,4.53
6/24/2014,4.49
6/25/2014,4.58
6/26/2014,4.58
6/27/2014,4.39
6/30/2014,4.39
7/1/2014,4.47
7/2/2014,4.47
7/3/2014,4.31
7/7/2014,4.31
7/8/2014,4.18
7/9/2014,4.17
7/10/2014,4.15
7/11/2014,4.13
7/14/2014,4.13
7/15/2014,4.13
7/16/2014,4.16
7/17/2014,4.04
7/18/2014,4.08
7/21/2014,3.87
7/22/2014,3.81
7/23/2014,3.83
7/24/2014,3.83
7/25/2014,3.86
7/28/2014,3.84
7/29/2014,3.79
7/30/2014,3.78
7/31/2014,3.78
8/1/2014,3.77
8/4/2014,3.87
8/5/2014,3.87
8/6/2014,3.92
8/7/2014,3.99
8/8/2014,3.94
8/11/2014,4
8/12/2014,3.94
8/13/2014,3.9
8/14/2014,3.85
8/15/2014,3.8
8/18/2014,3.78
8/19/2014,3.84
8/20/2014,3.88
8/21/2014,3.88
8/22/2014,3.88
8/25/2014,3.94
8/26/2014,3.99
8/27/2014,4.02
8/28/2014,4.06
8/29/2014,4.04
9/2/2014,4.01
9/3/2014,3.94
9/4/2014,3.91
9/5/2014,3.86
9/8/2014,3.86
9/9/2014,3.93
9/10/2014,3.98
9/11/2014,3.94
9/12/2014,3.82
9/15/2014,3.92
9/16/2014,3.85
9/17/2014,3.97
9/18/2014,3.99
9/19/2014,3.99
9/22/2014,3.88
9/23/2014,3.9
9/24/2014,3.84
9/25/2014,3.89
9/26/2014,3.89
9/29/2014,3.89
9/30/2014,4.14
10/1/2014,4.14
10/2/2014,4
10/3/2014,3.94
10/6/2014,3.89
10/7/2014,3.88
10/8/2014,3.88
10/9/2014,3.87
10/10/2014,3.86
10/13/2014,3.87
10/14/2014,3.91
10/15/2014,3.81
10/16/2014,3.8
10/17/2014,3.73
10/20/2014,3.69
10/21/2014,3.62
10/22/2014,3.69
10/23/2014,3.6
10/24/2014,3.53
10/27/2014,3.56
10/28/2014,3.53
10/29/2014,3.6
10/30/2014,3.76
10/31/2014,3.82
11/3/2014,3.82
11/4/2014,3.67
11/5/2014,3.83
11/6/2014,3.92
11/7/2014,3.92
11/10/2014,4.18
11/11/2014,4.18
11/12/2014,4.2
11/13/2014,4.2
11/14/2014,4.05
11/17/2014,4.26
11/18/2014,4.33
11/19/2014,4.41
11/20/2014,4.41
11/21/2014,4.32
11/24/2014,4.09
11/25/2014,4.09
11/26/2014,4.15
11/28/2014,4.3
12/1/2014,4.3
12/2/2014,3.77
12/3/2014,3.63
12/4/2014,3.63
12/5/2014,3.42
12/8/2014,3.42
12/9/2014,3.63
12/10/2014,3.65
12/11/2014,3.68
12/12/2014,3.91
12/15/2014,3.72
12/16/2014,3.58
12/17/2014,3.72
12/18/2014,3.71
12/19/2014,3.71
12/22/2014,3.05
12/23/2014,2.99
12/24/2014,2.99
12/26/2014,2.74
12/29/2014,3.07
12/30/2014,3.14
12/31/2014,3.14
1/2/2015,3.01
1/5/2015,3.22
1/6/2015,2.98
1/7/2015,3.08
1/8/2015,2.92
1/9/2015,2.96
1/12/2015,2.9
1/13/2015,2.92
1/14/2015,3.15
1/15/2015,3.32
1/16/2015,3.11
1/20/2015,2.94
1/21/2015,2.94
1/22/2015,2.95
1/23/2015,2.96
1/26/2015,2.92
1/27/2015,2.96
1/28/2015,2.89
1/29/2015,2.88
1/30/2015,2.88
2/2/2015,2.88
2/3/2015,2.67
2/4/2015,2.73
2/5/2015,2.66
2/6/2015,2.66
2/9/2015,2.62
2/10/2015,2.67
2/11/2015,2.86
2/12/2015,2.86
2/13/2015,2.75
2/17/2015,2.75
2/18/2015,2.92
2/19/2015,2.92
2/20/2015,3.02
2/23/2015,3.22
2/24/2015,3.22
2/25/2015,3.21
2/26/2015,3.21
2/27/2015,2.79
3/2/2015,2.79
3/3/2015,3
3/4/2015,3.27
3/5/2015,3.27
3/6/2015,2.89
3/9/2015,2.75
3/10/2015,2.76
3/11/2015,2.76
3/12/2015,2.82
3/13/2015,2.72
3/16/2015,2.68
3/17/2015,2.82
3/18/2015,2.8
3/19/2015,2.86
3/20/2015,2.86
3/23/2015,2.72
3/24/2015,2.79
3/25/2015,2.77
3/26/2015,2.77
3/27/2015,2.89
3/30/2015,2.64
3/31/2015,2.65
4/1/2015,2.62
4/2/2015,2.63
4/6/2015,2.63
4/7/2015,2.71
4/8/2015,2.71
4/9/2015,2.72
4/10/2015,2.58
4/13/2015,2.58
4/14/2015,2.58
4/15/2015,2.62
4/16/2015,2.61
4/17/2015,2.67
4/20/2015,2.57
4/21/2015,2.59
4/22/2015,2.63
4/23/2015,2.59
4/24/2015,2.59
4/27/2015,2.5
4/28/2015,2.55
4/29/2015,2.55
4/30/2015,2.56
5/1/2015,2.68
5/4/2015,2.72
5/5/2015,2.76
5/6/2015,2.76
5/7/2015,2.74
5/8/2015,2.78
5/11/2015,2.85
5/12/2015,2.85
5/13/2015,2.85
5/14/2015,2.87
5/15/2015,2.96
5/18/2015,3.01
5/19/2015,3.01
5/20/2015,3.04
5/21/2015,2.96
5/22/2015,2.96
5/26/2015,2.82
5/27/2015,2.82
5/28/2015,2.78
5/29/2015,2.78
6/1/2015,2.78
6/2/2015,2.63
6/3/2015,2.65
6/4/2015,2.6
6/5/2015,2.6
6/8/2015,2.6
6/9/2015,2.72
6/10/2015,2.81
6/11/2015,2.88
6/12/2015,2.88
6/15/2015,2.89
6/16/2015,2.94
6/17/2015,2.93
6/18/2015,2.93
6/19/2015,2.81
6/22/2015,2.79
6/23/2015,2.83
6/24/2015,2.83
6/25/2015,2.8
6/26/2015,2.77
6/29/2015,2.77
6/30/2015,2.8
7/1/2015,2.78
7/2/2015,2.79
7/3/2015,2.79
7/6/2015,2.79
7/7/2015,2.77
7/8/2015,2.77
7/9/2015,2.7
7/10/2015,2.7
7/13/2015,2.88
7/14/2015,2.88
7/15/2015,2.93
7/16/2015,2.9
7/17/2015,2.88
7/20/2015,2.88
7/21/2015,2.84
7/22/2015,2.84
7/23/2015,2.92
7/24/2015,2.92
7/27/2015,2.92
7/28/2015,2.89
7/29/2015,2.91
7/30/2015,2.87
7/31/2015,2.76
8/3/2015,2.76
8/4/2015,2.83
8/5/2015,2.85
8/6/2015,2.76
8/7/2015,2.76
8/10/2015,2.85
8/11/2015,2.84
8/12/2015,2.93
8/13/2015,2.93
8/14/2015,2.83
8/17/2015,2.79
8/18/2015,2.71
8/19/2015,2.77
8/20/2015,2.77
8/21/2015,2.7
8/24/2015,2.65
8/25/2015,2.71
8/26/2015,2.73
8/27/2015,2.69
8/28/2015,2.69
8/31/2015,2.7
9/1/2015,2.7
9/2/2015,2.7
9/3/2015,2.67
9/4/2015,2.67
9/7/2015,2.67
9/8/2015,2.74
9/9/2015,2.74
9/10/2015,2.71
9/11/2015,2.67
9/14/2015,2.7
9/15/2015,2.74
9/16/2015,2.69
9/17/2015,2.69
9/18/2015,2.69
9/21/2015,2.61
9/22/2015,2.61
9/23/2015,2.62
9/24/2015,2.62
9/25/2015,2.6
9/28/2015,2.66
9/29/2015,2.57
9/30/2015,2.47
10/1/2015,2.37
10/2/2015,2.37
10/5/2015,2.34
10/6/2015,2.35
10/7/2015,2.35
10/8/2015,2.35
10/9/2015,2.49
10/12/2015,2.48
10/13/2015,2.47
10/14/2015,2.47
10/15/2015,2.54
10/16/2015,2.42
10/19/2015,2.43
10/20/2015,2.46
10/21/2015,2.37
10/22/2015,2.37
10/23/2015,2.28
10/26/2015,2.18
10/27/2015,2.14
10/28/2015,2.14
10/29/2015,2.15
10/30/2015,1.98
11/2/2015,1.92
11/3/2015,1.92
11/4/2015,2.04
11/5/2015,2.04
11/6/2015,2.19
11/9/2015,2.19
11/10/2015,2.14
11/11/2015,2.13
11/12/2015,2.05
11/13/2015,2.02
11/16/2015,2.02
11/17/2015,2.05
11/18/2015,2.1
11/19/2015,2.1
11/20/2015,2.18
11/23/2015,2.18
11/24/2015,2.14
11/25/2015,2.14
11/26/2015,2.14
11/27/2015,2.14
11/30/2015,2.11
12/1/2015,2.11
12/2/2015,2.19
12/3/2015,2.14
12/4/2015,2.1
12/7/2015,2.06
12/8/2015,2.01
12/9/2015,2
12/10/2015,1.95
12/11/2015,1.79
12/14/2015,1.7
12/15/2015,1.66
12/16/2015,1.7
12/17/2015,1.79
12/18/2015,1.74
12/21/2015,1.76
12/22/2015,1.73
12/23/2015,1.63
12/24/2015,1.63
12/25/2015,1.63
